Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.114621927762442,53.750833439490876,83.3058868873809,5.489258887739796e-4,5.489258887739796e-4,3.0399999999999983e-2,"cx0_14: 2.809e-2 , cx0_1: 1.794e-2 "
1,5.235015188239101,44.04063614973434,51.01604441036755,8.161871289158903e-4,8.161871289158903e-4,8.129999999999993e-2,"cx1_13: 5.122e-2 , cx1_2: 1.148e-2 , cx1_0: 1.794e-2 "
2,5.038359081625239,63.962327351872354,54.02514311861613,5.813486184650353e-4,5.813486184650353e-4,4.479999999999995e-2,"cx2_12: 5.016e-2 , cx2_3: 3.287e-2 , cx2_1: 1.148e-2 "
3,4.894446999401514,72.8626622497063,18.601901381933992,5.497956326893596e-4,5.497956326893596e-4,8.660000000000001e-2,"cx3_11: 3.077e-2 , cx3_4: 2.559e-2 , cx3_2: 3.287e-2 "
4,5.022026965206047,47.90414605119376,29.282824540694733,1.1476997223734448e-3,1.1476997223734448e-3,5.489999999999995e-2,"cx4_10: 5.861e-2 , cx4_5: 3.879e-2 , cx4_3: 2.559e-2 "
5,5.073153312588324,20.056327738907882,27.180789958537392,4.086023906181838e-3,4.086023906181838e-3,4.679999999999995e-2,"cx5_9: 3.607e-2 , cx5_6: 4.784e-2 , cx5_4: 3.879e-2 "
6,4.92950263704848,74.9914731704634,79.74592355892601,1.4741363074678214e-3,1.4741363074678214e-3,2.3700000000000054e-2,"cx6_8: 3.347e-2 , cx6_5: 4.784e-2 "
7,4.983244182923878,34.416956430089414,24.880329327333996,1.7418580908842287e-3,1.7418580908842287e-3,2.4799999999999933e-2,"cx7_8: 2.071e-2 "
8,4.751375700654913,123.44395379519499,95.21068912747101,5.59048898552038e-4,5.59048898552038e-4,2.7200000000000002e-2,"cx8_6: 3.347e-2 , cx8_9: 2.587e-2 , cx8_7: 2.071e-2 "
9,4.97357031560314,42.744460826401195,79.99233070005994,1.3733168114380236e-3,1.3733168114380236e-3,4.689999999999994e-2,"cx9_5: 3.607e-2 , cx9_10: 2.947e-2 , cx9_8: 2.587e-2 "
10,4.9445347596857205,39.34590115757127,40.66830064389814,1.6644785649129142e-3,1.6644785649129142e-3,5.6400000000000006e-2,"cx10_4: 5.861e-2 , cx10_11: 3.395e-2 , cx10_9: 2.947e-2 "
11,4.997463767258617,50.11265705810803,77.06257294865904,8.031822077442387e-4,8.031822077442387e-4,4.580000000000006e-2,"cx11_3: 3.077e-2 , cx11_12: 1.729e-2 , cx11_10: 3.395e-2 "
12,4.763629433332232,77.82812303599496,62.97170755261733,1.0507057115928709e-3,1.0507057115928709e-3,3.6699999999999955e-2,"cx12_2: 5.016e-2 , cx12_13: 2.347e-2 , cx12_11: 1.729e-2 "
13,4.973585647393043,21.946050363758935,16.48011728209499,2.6752779025340035e-3,2.6752779025340035e-3,6.499999999999995e-2,"cx13_14: 4.218e-2 , cx13_1: 5.122e-2 , cx13_12: 2.347e-2 "
14,5.0073939686651,45.803128459279684,54.66602792323127,6.781764062214404e-4,6.781764062214404e-4,6.180000000000008e-2,"cx14_0: 2.809e-2 , cx14_13: 4.218e-2 "
